name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,maintainence_duration
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,253
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,92
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,25
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,210
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,189
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,190
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,16
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,99
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,76
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,69
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,29
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,210
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,212
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,27
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,44
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,143
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,256
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,117
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,48
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,177
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,40
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,53
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,132
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,166
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,88
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,9
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,16
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,108
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,181
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,98
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,130
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,129
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,78
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,232
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,20
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,255
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,18
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,103
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,141
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,242
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,238
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,111
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,220
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,68
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,195
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,19
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,146
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,69
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,73
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,249
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,127
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,136
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,202
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,196
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,150
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,74
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,46
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,33
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,40
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,83
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,61
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,40
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,113
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,62
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,253
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,183
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,179
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,101
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,83
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,218
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,241
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,172
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,255
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,209
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,212
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,227
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,193
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,173
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,191
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,243
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,45
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,167
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,39
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,140
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,16
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,228
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,79
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,12
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,78
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,39
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,108
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,131
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,63
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,137
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,18
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,136
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,40
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,207
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,3
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,174
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,194
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,223
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,219
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,199
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,196
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,67
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,176
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,66
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,233
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,202
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,144
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,33
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,34
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,98
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,164
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,66
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,139
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,87
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,99
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,227
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,112
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,162
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,85
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,146
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,106
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,253
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,21
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,225
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,245
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,160
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,95
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,191
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,88
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,66
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,239
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,7
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,175
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,191
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,151
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,2
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,190
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,239
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,115
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,9
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,57
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,162
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,128
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,247
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,228
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,123
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,220
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,81
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,178
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,244
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,227
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,39
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,130
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,121
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,122
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,163
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,139
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,204
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,242
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,161
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,172
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,171
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner,137
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,125
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,22
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,251
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,132
Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,192
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,170
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,130
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner,209
Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner,14
Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,First Owner,158
Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner,69
Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner,236
Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,First Owner,121
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,First Owner,247
Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Individual,Manual,First Owner,220
Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,105
Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,Second Owner,120
Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner,59
Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,First Owner,157
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,First Owner,37
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,165
Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,First Owner,2
Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner,201
Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner,175
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner,221
Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner,141
Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner,51
Mahindra Renault Logan 1.5 DLS,2008,89999,213000,Diesel,Individual,Manual,First Owner,41
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000,Diesel,Individual,Manual,First Owner,144
Mahindra Scorpio S11 BSIV,2017,1500000,20000,Diesel,Individual,Manual,First Owner,186
Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Individual,Manual,First Owner,11
Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Individual,Manual,Second Owner,5
Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Individual,Manual,First Owner,118
Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Individual,Manual,First Owner,128
Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Individual,Manual,Second Owner,1
Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,Second Owner,24
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,213
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner,117
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,14
Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Dealer,Manual,First Owner,101
Tata Indica Vista TDI LS,2011,120000,120000,Diesel,Individual,Manual,Second Owner,235
Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Individual,Manual,Second Owner,177
Tata Zest Quadrajet 1.3 75PS XE,2015,300000,140000,Diesel,Dealer,Manual,First Owner,107
Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Dealer,Manual,Second Owner,190
Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,First Owner,224
Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Individual,Manual,Second Owner,231
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,70000,Diesel,Individual,Manual,First Owner,186
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner,204
Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000,Diesel,Individual,Manual,First Owner,110
Chevrolet Beat Diesel LT,2011,130000,80000,Diesel,Individual,Manual,Second Owner,96
Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Individual,Manual,First Owner,204
Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000,Petrol,Individual,Manual,First Owner,52
Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,First Owner,32
Maruti Baleno Alpha 1.2,2017,625000,52000,Petrol,Dealer,Manual,First Owner,72
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Individual,Manual,Third Owner,11
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,Petrol,Individual,Manual,First Owner,41
Hyundai Grand i10 CRDi Magna,2017,490000,66000,Diesel,Dealer,Manual,First Owner,17
Maruti Ertiga SHVS ZDI,2017,880000,64000,Diesel,Dealer,Manual,First Owner,228
Hyundai Santro Xing GL Plus,2013,290000,49000,Petrol,Individual,Manual,First Owner,79
Tata Sumo GX TC 7 Str BSIII,2006,115999,100000,Diesel,Individual,Manual,Second Owner,144
Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,First Owner,126
Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,Second Owner,19
Maruti Vitara Brezza LDi Option,2017,685000,72000,Diesel,Dealer,Manual,First Owner,210
Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,First Owner,53
Hyundai i20 1.4 Sportz,2017,680000,44000,Diesel,Dealer,Manual,First Owner,109
Maruti Ertiga SHVS ZDI Plus,2017,1000000,60000,Diesel,Individual,Manual,Second Owner,171
Tata Sumo SE Plus BSIII,2002,100000,120000,Diesel,Individual,Manual,First Owner,210
Mahindra Xylo E4,2010,160000,130000,Diesel,Individual,Manual,First Owner,44
Maruti Swift ZDi BSIV,2017,450000,70000,Diesel,Individual,Manual,First Owner,88
Maruti Ertiga VXI,2014,600000,20000,Petrol,Individual,Manual,First Owner,26
Hyundai i20 1.4 Magna ABS,2009,180000,60000,Diesel,Individual,Manual,Second Owner,127
Maruti Alto LXi,2007,100000,195000,Petrol,Individual,Manual,First Owner,247
Maruti Alto LXi,2010,120000,90000,Petrol,Individual,Manual,Second Owner,166
Hyundai Getz GL,2006,130000,80000,Petrol,Individual,Manual,Third Owner,28
Maruti Wagon R LX BS IV,2011,160000,155000,Petrol,Individual,Manual,First Owner,145
Mahindra Bolero Power Plus SLX,2019,860000,35000,Diesel,Individual,Manual,First Owner,11
Hyundai i20 1.2 Spotz,2018,650000,20000,Petrol,Individual,Manual,Second Owner,139
Maruti Wagon R LXI Minor,2010,100000,80000,Petrol,Individual,Manual,Second Owner,89
Maruti Alto 800 VXI,2017,282000,20000,Petrol,Individual,Manual,First Owner,115
Hyundai i20 Asta (o),2009,300000,50000,Petrol,Individual,Manual,First Owner,68
Hyundai i20 Asta,2010,270000,110000,Petrol,Individual,Manual,Second Owner,54
Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000,Diesel,Individual,Manual,First Owner,60
Mahindra Xylo D2 BSIV,2013,450000,120000,Diesel,Individual,Manual,First Owner,157
Mahindra Bolero SLX 2WD BSIII,2011,430000,70000,Diesel,Individual,Manual,Second Owner,5
Maruti Ertiga VXI ABS,2013,350000,40000,Petrol,Individual,Manual,First Owner,122
Honda Brio 1.2 E MT,2017,350000,20000,Petrol,Individual,Manual,First Owner,111
Toyota Etios Liva G,2013,229999,50000,Petrol,Individual,Manual,Second Owner,150
Maruti Alto 800 LXI,2013,110000,50000,Petrol,Individual,Manual,First Owner,114
Maruti Swift Dzire 1.2 Vxi BSIV,2012,395000,49000,Petrol,Individual,Manual,Second Owner,222
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000,Diesel,Individual,Automatic,Second Owner,172
Mahindra Bolero SLX,2011,350000,90000,Diesel,Individual,Manual,Second Owner,28
Mahindra XUV500 W11 Option AWD,2020,1400000,25000,Diesel,Dealer,Manual,First Owner,247
Tata Tiago 1.2 Revotron XZ,2018,360000,4000,Petrol,Individual,Manual,First Owner,163
Mahindra Marazzo M8 8Str,2018,1300000,10000,Diesel,Individual,Manual,First Owner,165
Renault Duster 110PS Diesel RxL,2015,800000,15000,Diesel,Individual,Manual,First Owner,254
Hyundai EON Magna Plus,2018,229999,30000,Petrol,Individual,Manual,First Owner,72
Maruti Wagon R VXI,2014,315000,41000,Petrol,Dealer,Manual,First Owner,179
